English,同义,中文,次数,总次数,正确率
exactitude,meticulousness,精确性,,,
forsake,neglect,抛弃,,,
emulate,imitate,模仿;努力赶超,,,
decay,-,腐朽,1,1,0
dilatory,sluggish,拖延的,1,1,0
terse,taciturn,话少的;唐突无礼的,1,1,0
garrulous,loquacious,喋喋不休的,,,
deflect,shrug off,使转向,0,1,1
diadactic,preachy,说教的,0,1,1
bogus,-,伪造,0,1,1
exemplary,model,典型的,,,
fixated,obsessed,过分迷恋的,,,
eulogize,lionize,赞美,,,
fusty,obsolete,守旧的,,,
compunction,-,后悔,1,2,0.5
energize,-,使…活跃,,,
embody,-,象征;包括,,,
duplicity,dissemblance,欺骗,,,
decrepitude,senescenece,衰老,1,1,0
equable,-,平静的,,,
deferential,respectful,恭敬的,0,1,1
erroneous,inaccurate,错误的,,,
defining,-,起决定作用的,0,1,1
dreary,tedious,枯燥乏味的,,,
forgo,-,放弃,,,
diverting,entertaining,有趣的,,,
euphoria,ecstasy,狂喜,,,
baffle,-,使困惑,0,1,1
disorganize,-,扰乱,0,1,1
counterproductive,-,事与愿违的,0,1,1
flourish,-,繁茂,,,
fealty,loyalty,忠诚,,,
exiguous,tenuous,稀少的,,,
contemptuous,-,轻蔑的,1,1,0
emendation,revision,修订,,,
dispassionate,-,冷静客观的,1,1,0
disparage,slight,贬低,1,1,0
devious,guile,狡诈的;弯曲的,1,1,0
cursory,perfunctory,草率的,0,1,1
construe,-,诠释;分析,1,1,0
circumscribe,-,限制,0,1,1
enamor,favor,使迷恋,,,
detract,deprecate,贬低;减损,1,1,0
credulous,trusting,轻信的,0,1,1
cliquish,-,小集团的,1,1,0
caterwaul,-,发出烦人的噪音,0,1,1
ensue,-,随即发生,,,
fiery,impassioned,热烈的;暴躁的,,,
divest,strip,剥夺,,,
delight,relish,使高兴,0,1,1
curt,lacnoic,话少的;唐突无礼的,1,1,0
emergent,-,意外的;新兴的,,,
evanescent,momentary,短暂的,,,
displace,obviate,取代,1,1,0
crumble,-,崩溃;破碎,1,1,0
doom,-,厄运,,,
forerunner,precursor,先驱;预兆,,,
fanciful,-,想象的,,,
ecstasy,euphoria,狂喜,,,
flout,spurn,公然蔑视,,,
enigmatic,perplexing,神秘难懂的,,,
deprecatory,detracting,反对的,1,1,0
discordance,contention,不一致,0,1,1
comprehensive,-,全面的,1,1,0
disgruntle,crestfallen,使不高兴,1,1,0
exaggerate,hyperbole,夸大,,,
engender,yield,导致,,,
discursion,-,漫谈离题,1,1,0
dogmatic,rigid,武断的;教条主义的,,,
denounce,lambast,谴责,0,1,1
droll,-,滑稽的,,,
deplorable,reprehensible,可悲的;应受谴责的,1,1,0
comtemplate,ponder,深入思考,0,2,1
crestfallen,disgruntled,不高兴的,0,1,1
eternal,-,永恒的,,,
entreat,-,恳求,,,
extrapolate,-,推断,,,
eloquent,rhetoric,雄辩的,,,
extol,applaud,赞扬,,,
factious,schism,宗派的;派系的,,,
dissemble,duplicity,伪装,,,
entangle,-,使纠缠,,,
discomfit,-,使难堪,0,1,1
disparate,-,不同的,0,1,1
equivocal,ambiguous,模棱两可的,,,
decouple,-,使…没有联系,1,1,0
budding,-,萌芽期的,1,1,0
economic,pecuniary,有利可图的,,,
endemic,indigenous,地方性的,,,
dichotomous,-,矛盾的,0,1,1
dull,-,乏味的,,,
engaging,winning,迷人的,,,
esoteric,recondite,深奥难懂的,,,
comparable,-,相似的,1,1,0
acclaim,-,称赞,0,1,1
enhance,hone,提高;改善,,,
eliminate,extirpate,消除;淘汰,,,
fraudulent,malfeasant,欺骗性的,,,
disenchant,-,使幻想破灭,1,1,0
brandish,-,炫耀,1,1,0
compartmentalize,-,分开,0,1,1
dispute,-,争吵;质疑,,,
cloak,-,掩盖,0,1,1
diffident,-,缺乏自信的;谨慎的,1,1,0
exasperation,irascibility,恼怒,,,
flexibility,suppleness,灵活性,,,
deliberate,-,谨慎的,0,1,1
elude,puzzle,避开;不能被理解,,,
detrimental,-,有害的,1,1,0
exacting,prescriptive,严格的,,,
mitigate,-,缩减,1,1,0
diatribe,rant,抨击,1,1,0
discrepancy,-,不一致,0,1,1
fusion,synthesis,融合,,,
effusive,emotional,溢于言表的,,,
extirpate,eliminate,根除,,,
devolve,-,下放权力;衰落,1,1,0
elate,-,使…高兴,,,
debacle,fiasco,彻底失败,1,1,0
exacerbate,aggravate,使恶化,,,
facile,-,肤浅的;轻率的,,,
debunk,-,揭露…为假,0,1,1
erratic,capricious,善变的,,,
dwindle,contract,逐渐减少,,,
deearth,paucity,缺乏,0,1,1
deride,lambaste,鄙视,0,1,1
foreground,-,使重要,,,
comprise,-,包含,1,1,0
feckless,-,软弱的,,,
distend,-,膨胀,,,
dispatch,celerity,迅速;派遣,0,1,1
crass,-,愚钝的,1,1,0
exculpate,vindicate,开脱罪行,,,
discretionary,-,自由决定的,1,1,0
convulsion,upheaval,动乱,2,2,0
gauge,reckon,判断;衡量仪器,,,
deflate,soothe,使减少,1,1,0
disciple,adherent,信徒,0,1,1
coherent,-,内在一致的,0,1,1
eclipse,outdo,衰退;胜过,,,
extraneous,irrelevant,无关的,,,
facilitate,further,促进;加快,,,
dubious,suspect,不确定的;可疑的,,,
general,abstract,笼统的,,,
erstwhile,onetime,过去的,,,
diminutive,minuscule,极小的,0,2,1
crab,excoriate,抱怨,1,1,0
deft,canny,灵巧的,0,1,1
contentious,-,好争议的,1,1,0
ape,-,模仿,0,1,1
concoct,-,混合而制;编造,1,1,0
explicit,-,详述的,,,
degenerative,-,退化的,1,1,0
versatile,flighty,善变的,,,
credit,-,赞扬,0,1,1
ebb,wane,衰退,,,
flummery,-,胡言乱语;假恭维,,,
evassive,elusive,逃避的,,,
entailed by,inferable from,使需要;导致,,,
forge,fabricate,锻造,,,
absolve,-,免罪,1,1,0
extremist,zealot,极端分子,,,
fungible,interchangeable,可取代的,,,
easygoing,affable,悠闲的,,,
balk-at,-,回避,0,1,1
excoriate,indict,严厉指责,,,
frugal,thrify,简朴的,,,
corroborate,-,证实,1,1,0
aplomb,-,镇定,0,1,1
flagrant,egregious,明目张胆的,,,
evenhanded,impartial,公平的,,,
empower,-,授权,,,
erudite,learned,博学的,,,
egregious,flagrant,臭名昭著的,,,
detached,-,公正客观的,1,1,0
expel,oust,开除;驱逐,,,
essential,indispensable,完全必要的;基本的,,,
constrain,-,强迫,0,1,1
evangelist,-,热情的推动者,,,
emblematic,totemic,象征的,,,
equanimity,-,镇定,,,
erratic,fickle,难以预测的,,,
